sentence,intent
"với cho mình hỏi xuất xứ của nôi, hang này của nước nào ạ?",query_knowledge_base
Vâng để t thử,agree
Thảm cuộn ý b,query_knowledge_base
Thanks bạn ạ,thank
Ok thế mình cảm ơn nha,thank
kích thước đóng mở của gh,query_knowledge_base
Tớ ko thích hàng tq,disagree
Đúng rồi vì ban ngày mình đi làm,agree
"Vâng, a",agree
Cho em hỏi bộ quây bóng giá bao nhiêu các kích cỡ ạ,query_knowledge_base
Mình cám ơn shop nhiều nhé,thank
thấy có màu xanh k thích ak b,disagree
Vâng em cứ thử thôi :)),agree
"Ok shop, thank shop nhé",thank
"Ok, mình cám ơn nhìu nha",thank
Okie cảm ơn shop :),thank
Giống cái này thì mình ko thích,disagree
Aloooo bạn ơi,greet
"Ok, cám ơn bạn. Có j mình liên hệ laik",thank
La chatbot hay nguoi the?,ask_is_bot
B ơi...,greet
máy hút mũi này của nc nào sx shop ha?,query_knowledge_base
À ko phải cái này bạn ạ,disagree
oke bạn. cảm ơn bạn nhé,thank
Shop cho m hình nhé,query_knowledge_base
valdera là của nước nào,query_knowledge_base
vâng c ạ,agree
k thích thảm đấy cho lắm,disagree
Alo.ạ,greet
Dạ vâng ạ. Cảm ơn shop,thank
alo bạn,greet
ko phải nội thành đâu,disagree
ko phải loại này rùi,disagree
bot hay nhân viên?,ask_is_bot
Alo em oi,greet
Hí hí,greet
Ok mình đặt được bên Shopee rồi cảm ơn shop,thank
Ghế này sale còn bn vậy shop,query_knowledge_base
Chụp thực tế cho chị chất liệu mẫu này,query_knowledge_base
Còn mẫu nào ko c,query_knowledge_base
Vâng.thế để mình qua mua ạ!,agree
Trung học cơ sở nhé. Không phải tiểu học,disagree
mamago là của nước nào bạn?,query_knowledge_base
Shop dùng bot à,ask_is_bot
Alooo shop ơiiii,greet
bên mình có xe đẩy gấp gọn kh a,query_knowledge_base
"Vâng ạ, có gì chiều mình qua shop xem ạ",agree
Alo b ạ,greet
Xe tập đi có nhạc còn loại nào cho bé trai k b?,query_knowledge_base
Ag uh,agree
to k thich bap bênh,disagree
Đây là vải bọc da à,query_knowledge_base
cái này của hãng nào vậy ban,query_knowledge_base
shop oi nhan vien hay chatbot vay,ask_is_bot
Aloo shop ơiiii,greet
Vâng e nhận tối nhed,agree
Thấy đang có sale mà,query_knowledge_base
Mua nguyên bể và bóng thì gía tn?,query_knowledge_base
4 b ơi,greet
Thủy đẹp ơi,greet
Đệm kèm theo bằng chất liệu gì vậy nek,query_knowledge_base
Hi C,greet
E k thích mẫu đấy,disagree
Cảm ơn shop đã tư vấn cho mình nhiều nhé,thank
"đúng rồi em,",agree
vâng vẫn đang bmht ạ,agree
"mình muốn hỏi bể dựng á bạn, của hãng nào vậy ạ?",query_knowledge_base
Câuk ơi,greet
Hix. Cảm ơn b nhé.,thank
"Ok cám ơn e, để c xem nhé",thank
Không phải cái này,disagree
bot a?,ask_is_bot
aloo,greet
Van oi,greet
Ko phải thảm này ha c,disagree
Ad ui,greet
Ok để mh cân nhắc. Thanks nhé,thank
cái này của nc nào sx vậy cậu?,query_knowledge_base
Uh thankiu ấy,thank
75k chứ k phải 59k ạ,disagree
bên mình có bảo hành hay gì ko ạ,query_knowledge_base
Vâng ạ thaks shop,agree
Ok c.. e cảm ơn nhé,thank
Mình ko muốn mua màu hồng,disagree
Nôi đc làm bằng chắc liệu gì vậy shop,query_knowledge_base
alo shop,greet
1m6x2m b ơi,greet
Con này bn v shop,query_knowledge_base
Vâng ak cảm ơn b nhìu ạ,thank
giá của val 02 thì sao b,query_knowledge_base
Thế cho mình 2 túi bóng nhé,query_knowledge_base
Mà thực sự ko thích đen,disagree
vâng thank bạn,thank
Alo b oi,greet
Alo banh,greet
cái xe đó cân nặng bao nhiêu,query_knowledge_base
thank shop có j pm mình nha,thank
alo 1234,greet
Uh t cám ơn,thank
"Ukiess b, mình cảm ơn",thank
Alo alo ạ,greet
vâng dc ạ,agree
Mình ko thích đỏ và đen :),disagree
Ok cám ơn sh ạ,thank
vâng ksao ạ,agree
Ko phải vcool,disagree
giường của graco chỉ dùng đ n tầm 3 4 tuổi thôi ạ,query_knowledge_base
nhiệt kế 650k của hãng nào?,query_knowledge_base
Vâng e ở hn,agree
bot à shop ơi,ask_is_bot
Bot hay nvien vậy?,ask_is_bot
Máy hút mũi đức bao nhiu ạ,query_knowledge_base
Đúng rồi nè,agree
Thanks shop nè,thank
Lều vải đúng ko b,query_knowledge_base
Thanks c Thuy nhe,thank
Vâng đúng rồi bạn bạn gửi cho mình theo địa chỉ sỹ,agree
Ko phải chăn,disagree
Cho hoi ben minh co ban ho boi dung cho pe tap boi k ?,query_knowledge_base
cho mình hỏi xe đẩy  zaracos revo ở trên có bảo hành ko,query_knowledge_base
Ko phải cái treo cũi kia,disagree
Vâng c!!,agree
1 set xúc xắc,query_knowledge_base
"ok, thanks",thank
vâng. c dâu e cứ muốn thế,agree
đẹp lắm cám ơn b nhé,thank
alo số,greet
Thank b ná,thank
dạ! cảm ơn bạn!,thank
Ng hay chatbot vậy shop?,ask_is_bot
bé ngôi dc đ n mấy tuổi,query_knowledge_base
!????? Shop ơi?,greet
Vâng ạ ok bạn,agree
Ng hay bot vậy shop?,ask_is_bot
Ok b. Mình cảm ơn nha,thank
Alo em ơi,greet
Ah vâng ok shop,agree
Mà bạn oie,greet
hàng này của nước nào bạn nhỉ?,query_knowledge_base
sh ơi bot à?,ask_is_bot
Tham lam bang chat lieu j v c,query_knowledge_base
Đây là Joie ạ,query_knowledge_base
Đúng rồi đó,agree
Đúng rồi ah 😍,agree
k phải âu cơ,disagree
Dạ cám ơn để e ngé,thank
shop oi bot tu dong a?,ask_is_bot
Vâng ạ hehe,agree
"OK,cám ơn shop",thank
shop để auto trả lời à,ask_is_bot
Minh lai k thich có mau hồng,disagree
Chứ k phải xe,disagree
Alô shop ơi,greet
vâng vậy cũng đc,agree
C ơi k phải cái này,disagree
e cảm ơn :”>,thank
Cảm on c sản phẩm tốt lắm ạ,thank
Lấy cho e xe đó đi ah,query_knowledge_base
Vg em cam on,thank
hi bạn,greet
"Vâng,minh cảm ơn bạn",thank
"ko phải, ý mình hỏi là phần quai bên trên khác nhau",disagree
bên bạn có xích đu 360 độ như này ko ạ,query_knowledge_base
Hjhj.. cảm ơn shop nhiều,thank
Loại bên dưới k về nữa hả b,query_knowledge_base
Loại này k phải của mastela ah,disagree
m cảm ơn nhé. có gì mình sẽ qua cửa hàng ạ,thank
M vừa đặt rồi thanks b nhé,thank
Vâng c e cảm ơn,thank
Dung roi stage ember,agree
mình mún hỏi thảm nhạc có đàn xuất xứ từ đâu thế,query_knowledge_base
alo ạ,greet
Cái này chất liệu ngồi là bằng vải hay nilon vậy b?,query_knowledge_base
Alo c ơi,greet
Alo shop ạ,greet
Ok em cảm ơn ạ,thank
Hí b ới,greet
Vâng. Thế m tham khảo thêm có gì m pm lại,agree
Sjop oi,greet
"Ơ, ấy ơi",greet
E cảm ơn ạ 💞,thank
Sh có bán cái nôi rung này k mình mún mua,query_knowledge_base
vâng. tại vì e sinh lần đầu,agree
Vâng để em nghiên cưu thêm ạ,agree
Alô,greet
Cám ơn shop nhâ,thank
ừa e ạ,agree
Vâng ạ. Để chiều em qa mua,agree
Màu xanh đó e k thích lắm,disagree
Ko phải shop ơi,disagree
E k muốn màu đậm quá ấy ạ,disagree
Cảm ơn shop nhiều nhe,thank
Mình ko thích mẫu này,disagree
"Hiu v e k mua được rùi, e cảm ơn ạ",thank
K phải số tài khoản đâu,disagree
T k thích màu ý lắm,disagree
K phải silicon a,disagree
C có cái bình tập uống 3 giai đoạn ko ạ,query_knowledge_base
"Vâng, m đang hỏi kệ dưới ý ạ",agree
"Hi , thanks b .",thank
Ko phải dạng áo đâu b,disagree
Đúng rồi Gấu,agree
K phải e,disagree
hic mình ko thích mẫu đó lắm,disagree
mình đang chat với ng hay bot the?,ask_is_bot
e cám ơn nhé,thank
Alo bạn ơi??,greet
Mẫu này thì minh không thích lắm :(,disagree
xe của nước nào thế ạ,query_knowledge_base
Hi vọng còn,greet
Đệm cuốn size nhỏ nhà bao nhiêu he bạn,query_knowledge_base
Alo 1234,greet
hi b ơi,greet
K phải xích đu nha,disagree
Okie dung roi e,agree
CHU CON TRAI DUNG DAI MAU HONG K THICH LAM,disagree
Shop ơi. Mình muốn lấy bộ bể bơi này và 1 ghế ăn dặm này,query_knowledge_base
K phải loại này,disagree
Ko phải do cái thanh e ơi,disagree
k phai xe kia b ạ,disagree
Này bạn ơi,greet
Bộ bé trai,query_knowledge_base
valdera là hãng nước nào thế bạn?,query_knowledge_base
hàng của nước nào v shop,query_knowledge_base
alo e đã mua máy hút sữa của c thấy ưng   lém nên mún hỏi c tư vấn cho cai gh  rung của em bé,query_knowledge_base
Vâng để r xem,agree
cai nay la hàng của nước nào vậy ah,query_knowledge_base
với bọo này thì bnhiu em  n u c ko lấy bập bênh và xích đu thì còn bnhiu   c lấy kích thước 1m6 nha em,query_knowledge_base
Vâng để e xem lại video tìm hỉu xem,agree
Máy hút mũi futur bao nhiêu đấy shop ?,query_knowledge_base
Bạn ơi!!,greet
Thanks bác nha,thank
Ko phải số đó nha b,disagree
Cảm ơn bạn ạ ❤️,thank
Dạ vâng để e nghiên cứu thêm ạ,agree
Vâng.oki shop.,agree
bên mjk có xích đu hay cầu trượt riêng ko ạ,query_knowledge_base
Alo đâu rôdi,greet
auto reply?,ask_is_bot
Cảm ơn shop mình sẽ phản hồi sau nhé,thank
Đung rôi,agree
Ok b. Tí qa t gọi. Thanks b nhé,thank
Bể bơi thành cao ý,query_knowledge_base
Cảm ơn shop😂,thank
Loại này mình ko thích lắm,disagree
Ah rồi m cảm ơn nhé,thank
Cám ơn shop da tư vấn,thank
Cho mình hỏi bộ này bn?,query_knowledge_base
À uh nhờ ok sh,agree
od màu xanh,query_knowledge_base
"Đúng rồi, giao về hoa sữa nhé",agree
k phai,disagree
shop đang dùng bot à?,ask_is_bot
